shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
"3-109-mjp-1.2.H","-37.826641120304","144.955521902863","21","2553.51709689375"
"3-109-mjp-1.2.H","-37.8256347768652","144.956731243723","22","2707.82847042143"
"3-109-mjp-1.2.H","-37.8256347768652","144.956731243723","23","2707.82847042143"
"3-109-mjp-1.2.H","-37.8253428525261","144.957046047401","24","2750.46648163209"
"3-109-mjp-1.2.H","-37.8232806267985","144.956091803165","25","2994.29018843682"
"3-109-mjp-1.2.H","-37.8232806267985","144.956091803165","26","2994.29018843682"
"3-109-mjp-1.2.H","-37.8216635046088","144.955341175656","27","3185.5596318929"
"3-109-mjp-1.2.H","-37.8216635046088","144.955341175656","28","3185.5596318929"
"3-109-mjp-1.2.H","-37.8190654886475","144.954151890109","29","3492.34457285318"
"3-109-mjp-1.2.H","-37.8188272860701","144.954965038624","30","3568.66626046555"
"3-109-mjp-1.2.H","-37.8188272860701","144.954965038624","31","3568.66626046555"
"3-109-mjp-1.2.H","-37.8175616139111","144.959407639277","32","3984.29229429885"
"3-109-mjp-1.2.H","-37.8175616139111","144.959407639277","33","3984.29229429885"
"3-109-mjp-1.2.H","-37.816286369259","144.963827633518","34","4398.41304963478"
"3-109-mjp-1.2.H","-37.816286369259","144.963827633518","35","4398.41304963478"
"3-109-mjp-1.2.H","-37.8156226411422","144.96609508927","36","4611.22282384639"
"3-109-mjp-1.2.H","-37.8156226411422","144.96609508927","37","4611.22282384639"
"3-109-mjp-1.2.H","-37.8143461598307","144.97045809192","38","5020.68710800315"
"3-109-mjp-1.2.H","-37.8143461598307","144.97045809192","39","5020.68710800315"
"3-109-mjp-1.2.H","-37.8134858769482","144.973355572655","40","5293.10223239972"
"3-109-mjp-1.2.H","-37.8134858769482","144.973355572655","41","5293.10223239972"
"3-109-mjp-1.2.H","-37.8133158865826","144.973950907421","42","5348.81578550845"
"3-109-mjp-1.2.H","-37.8122361314027","144.974571103234","43","5480.51620312359"
"3-109-mjp-1.2.H","-37.8122361314027","144.974571103234","44","5480.51620312359"
"3-109-mjp-1.2.H","-37.8107102896471","144.975453364072","45","5666.84118802899"
"3-109-mjp-1.2.H","-37.809694973916","144.975628761896","46","5780.58651760344"
"3-109-mjp-1.2.H","-37.809694973916","144.975628761896","47","5780.58651760344"
"3-109-mjp-1.2.H","-37.8082122405345","144.975873711717","48","5946.56543192692"
"3-109-mjp-1.2.H","-37.808266839596","144.976428791029","49","5995.81987335102"
"3-109-mjp-1.2.H","-37.808266839596","144.976428791029","50","5995.81987335102"
"3-109-mjp-1.2.H","-37.8084801424286","144.978353931853","51","6166.99230103725"
